Gyáriszám;Azonosító;Kezdõ dátum;Záró dátum;Hatásos érték [kWh];Hatásos státusz;Hatásos vesz érték [kWh];Hatásos vesz státusz;Szaldó érték [kWh];Szaldó státusz
9940220802;HU000220F11-S00000000000007928672;2025-03-16 00:00;2025-03-16 00:15;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 00:15;2025-03-16 00:30;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 00:30;2025-03-16 00:45;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 00:45;2025-03-16 01:00;0,042000;2;0,000000;2;0,042000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 01:00;2025-03-16 01:15;0,045000;2;0,000000;2;0,045000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 01:15;2025-03-16 01:30;0,024000;2;0,000000;2;0,024000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 01:30;2025-03-16 01:45;0,159000;2;0,000000;2;0,159000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 01:45;2025-03-16 02:00;0,138000;2;0,000000;2;0,138000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 02:00;2025-03-16 02:15;0,142000;2;0,000000;2;0,142000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 02:15;2025-03-16 02:30;0,146000;2;0,000000;2;0,146000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 02:30;2025-03-16 02:45;0,142000;2;0,000000;2;0,142000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 02:45;2025-03-16 03:00;0,136000;2;0,000000;2;0,136000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 03:00;2025-03-16 03:15;0,146000;2;0,000000;2;0,146000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 03:15;2025-03-16 03:30;0,080000;2;0,000000;2;0,080000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 03:30;2025-03-16 03:45;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 03:45;2025-03-16 04:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 04:00;2025-03-16 04:15;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 04:15;2025-03-16 04:30;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 04:30;2025-03-16 04:45;0,301000;2;0,000000;2;0,301000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 04:45;2025-03-16 05:00;0,279000;2;0,000000;2;0,279000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 05:00;2025-03-16 05:15;0,021000;2;0,000000;2;0,021000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 05:15;2025-03-16 05:30;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 05:30;2025-03-16 05:45;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 05:45;2025-03-16 06:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 06:00;2025-03-16 06:15;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 06:15;2025-03-16 06:30;0,120000;2;0,000000;2;0,120000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 06:30;2025-03-16 06:45;0,049000;2;0,000000;2;0,049000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 06:45;2025-03-16 07:00;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 07:00;2025-03-16 07:15;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 07:15;2025-03-16 07:30;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 07:30;2025-03-16 07:45;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 07:45;2025-03-16 08:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 08:00;2025-03-16 08:15;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 08:15;2025-03-16 08:30;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 08:30;2025-03-16 08:45;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 08:45;2025-03-16 09:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 09:00;2025-03-16 09:15;0,021000;2;0,000000;2;0,021000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 09:15;2025-03-16 09:30;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 09:30;2025-03-16 09:45;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 09:45;2025-03-16 10:00;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 10:00;2025-03-16 10:15;0,081000;2;0,000000;2;0,081000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 10:15;2025-03-16 10:30;0,163000;2;0,000000;2;0,163000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 10:30;2025-03-16 10:45;0,212000;2;0,000000;2;0,212000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 10:45;2025-03-16 11:00;0,191000;2;0,000000;2;0,191000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 11:00;2025-03-16 11:15;0,144000;2;0,000000;2;0,144000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 11:15;2025-03-16 11:30;0,157000;2;0,000000;2;0,157000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 11:30;2025-03-16 11:45;0,138000;2;0,000000;2;0,138000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 11:45;2025-03-16 12:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 12:00;2025-03-16 12:15;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 12:15;2025-03-16 12:30;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 12:30;2025-03-16 12:45;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 12:45;2025-03-16 13:00;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 13:00;2025-03-16 13:15;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 13:15;2025-03-16 13:30;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 13:30;2025-03-16 13:45;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-03-16 13:45;2025-03-16 14:00;0,014000;2;0,000000;2;0,014000;2
