Gyariszam;Azonosito;Kezdo_datum;Zaro_datum;Hatasos_ertek_kWh;Hatasos_statusz;Hatasos_vesz_ertek_kWh;Hatasos_vesz_statusz;Szaldo_ertek_kWh;Szaldo_statusz
9940220802;HU000220F11-S00000000000007928672;2025-05-20 00:00:00;2025-05-20 00:15:00;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 00:15:00;2025-05-20 00:30:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 00:30:00;2025-05-20 00:45:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 00:45:00;2025-05-20 01:00:00;0,096000;2;0,000000;2;0,096000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 01:00:00;2025-05-20 01:15:00;0,145000;2;0,000000;2;0,145000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 01:15:00;2025-05-20 01:30:00;0,144000;2;0,000000;2;0,144000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 01:30:00;2025-05-20 01:45:00;0,142000;2;0,000000;2;0,142000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 01:45:00;2025-05-20 02:00:00;0,144000;2;0,000000;2;0,144000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 02:00:00;2025-05-20 02:15:00;0,137000;2;0,000000;2;0,137000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 02:15:00;2025-05-20 02:30:00;0,142000;2;0,000000;2;0,142000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 02:30:00;2025-05-20 02:45:00;0,122000;2;0,000000;2;0,122000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 02:45:00;2025-05-20 03:00:00;0,129000;2;0,000000;2;0,129000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 03:00:00;2025-05-20 03:15:00;0,137000;2;0,000000;2;0,137000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 03:15:00;2025-05-20 03:30:00;0,146000;2;0,000000;2;0,146000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 03:30:00;2025-05-20 03:45:00;0,106000;2;0,000000;2;0,106000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 03:45:00;2025-05-20 04:00:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 04:00:00;2025-05-20 04:15:00;0,186000;2;0,000000;2;0,186000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 04:15:00;2025-05-20 04:30:00;0,233000;2;0,000000;2;0,233000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 04:30:00;2025-05-20 04:45:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 04:45:00;2025-05-20 05:00:00;0,024000;2;0,000000;2;0,024000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 05:00:00;2025-05-20 05:15:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 05:15:00;2025-05-20 05:30:00;0,025000;2;0,000000;2;0,025000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 05:30:00;2025-05-20 05:45:00;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 05:45:00;2025-05-20 06:00:00;0,022000;2;0,000000;2;0,022000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 06:00:00;2025-05-20 06:15:00;0,017000;2;0,000000;2;0,017000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 06:15:00;2025-05-20 06:30:00;0,023000;2;0,000000;2;0,023000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 06:30:00;2025-05-20 06:45:00;0,015000;2;0,000000;2;0,015000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-20 06:45:00;2025-05-20 07:00:00;0,021000;2;0,000000;2;0,021000;2
