Gyáriszám,Azonosító,Kezdõ_dátum,Záró dátum,Hatásos_érték_[kWh],Hatásos státusz,Hatásos vesz érték [kWh],Hatásos vesz státusz,Szaldó érték [kWh],Szaldó státusz
9940220802,HU000220F11-S00000000000007928672,2025-01-01 00:00:00,2025-01-01 00:15,0.162,2,0.0,2,0.162,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 00:15:00,2025-01-01 00:30,0.162,2,0.0,2,0.162,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 00:30:00,2025-01-01 00:45,0.158,2,0.0,2,0.158,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 00:45:00,2025-01-01 01:00,0.161,2,0.0,2,0.161,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 01:00:00,2025-01-01 01:15,0.158,2,0.0,2,0.158,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 01:15:00,2025-01-01 01:30,0.159,2,0.0,2,0.159,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 01:30:00,2025-01-01 01:45,0.13,2,0.0,2,0.13,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 01:45:00,2025-01-01 02:00,0.038,2,0.0,2,0.038,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 02:00:00,2025-01-01 02:15,0.033,2,0.0,2,0.033,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 02:15:00,2025-01-01 02:30,0.038,2,0.0,2,0.038,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 02:30:00,2025-01-01 02:45,0.032,2,0.0,2,0.032,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 02:45:00,2025-01-01 03:00,0.039,2,0.0,2,0.039,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 03:00:00,2025-01-01 03:15,0.033,2,0.0,2,0.033,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 03:15:00,2025-01-01 03:30,0.036,2,0.0,2,0.036,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 03:30:00,2025-01-01 03:45,0.033,2,0.0,2,0.033,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 03:45:00,2025-01-01 04:00,0.038,2,0.0,2,0.038,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 04:00:00,2025-01-01 04:15,0.034,2,0.0,2,0.034,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 04:15:00,2025-01-01 04:30,0.038,2,0.0,2,0.038,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 04:30:00,2025-01-01 04:45,0.031,2,0.0,2,0.031,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 04:45:00,2025-01-01 05:00,0.04,2,0.0,2,0.04,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 05:00:00,2025-01-01 05:15,0.031,2,0.0,2,0.031,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 05:15:00,2025-01-01 05:30,0.146,2,0.0,2,0.146,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 05:30:00,2025-01-01 05:45,0.163,2,0.0,2,0.163,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 05:45:00,2025-01-01 06:00,0.173,2,0.0,2,0.173,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 06:00:00,2025-01-01 06:15,0.154,2,0.0,2,0.154,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 06:15:00,2025-01-01 06:30,0.144,2,0.0,2,0.144,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 06:30:00,2025-01-01 06:45,0.155,2,0.0,2,0.155,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 06:45:00,2025-01-01 07:00,0.181,2,0.0,2,0.181,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 07:00:00,2025-01-01 07:15,0.687,2,0.0,2,0.687,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 07:15:00,2025-01-01 07:30,0.47,2,0.0,2,0.47,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 07:30:00,2025-01-01 07:45,0.039,2,0.0,2,0.039,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 07:45:00,2025-01-01 08:00,0.093,2,0.0,2,0.093,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 08:00:00,2025-01-01 08:15,0.571,2,0.0,2,0.571,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 08:15:00,2025-01-01 08:30,0.337,2,0.0,2,0.337,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 08:30:00,2025-01-01 08:45,0.264,2,0.0,2,0.264,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 08:45:00,2025-01-01 09:00,0.347,2,0.0,2,0.347,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 09:00:00,2025-01-01 09:15,0.65,2,0.0,2,0.65,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 09:15:00,2025-01-01 09:30,0.622,2,0.0,2,0.622,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 09:30:00,2025-01-01 09:45,0.295,2,0.0,2,0.295,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 09:45:00,2025-01-01 10:00,0.227,2,0.0,2,0.227,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 10:00:00,2025-01-01 10:15,0.204,2,0.0,2,0.204,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 10:15:00,2025-01-01 10:30,0.193,2,0.0,2,0.193,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 10:30:00,2025-01-01 10:45,0.165,2,0.0,2,0.165,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 10:45:00,2025-01-01 11:00,0.205,2,0.0,2,0.205,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 11:00:00,2025-01-01 11:15,0.119,2,0.0,2,0.119,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 11:15:00,2025-01-01 11:30,0.41,2,0.0,2,0.41,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 11:30:00,2025-01-01 11:45,0.188,2,0.0,2,0.188,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 11:45:00,2025-01-01 12:00,0.188,2,0.0,2,0.188,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 12:00:00,2025-01-01 12:15,0.318,2,0.0,2,0.318,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 12:15:00,2025-01-01 12:30,0.604,2,0.0,2,0.604,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 12:30:00,2025-01-01 12:45,0.348,2,0.0,2,0.348,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 12:45:00,2025-01-01 13:00,0.225,2,0.0,2,0.225,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 13:00:00,2025-01-01 13:15,0.21,2,0.0,2,0.21,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 13:15:00,2025-01-01 13:30,0.11,2,0.0,2,0.11,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 13:30:00,2025-01-01 13:45,0.279,2,0.0,2,0.279,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 13:45:00,2025-01-01 14:00,0.19,2,0.0,2,0.19,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 14:00:00,2025-01-01 14:15,0.159,2,0.0,2,0.159,2
9940220802,HU000220F11-S00000000000007928672,2025-01-01 14:15:00,2025-01-01 14:30,0.162,2,0.0,2,0.162,2
